colony.id,census,year,country,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,21215,1966,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,20511,1969,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,17281,1973,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,16400,1976,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,18245,1979,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,21090,1984,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,24125,1989,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,31574,1994,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,36936,1999,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,53635,2004,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,59586,2009,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,52277,2010,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,47744,2011,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,51725,2012,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,58344,2013,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,50608,2014,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,54034,2015,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,54041,2016,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,48260,2017,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,57716,2018,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,48216,2019,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bonaventure Island,52417,2020,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,5204,1969,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,5331,1973,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,4453,1976,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,4842,1979,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,6590,1984,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,7640,1989,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,9868,1994,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,16884,1999,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,23461,2004,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,30010,2009,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,22497,2010,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,30581,2011,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,26366,2012,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,23093,2013,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,24209,2014,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,27347,2015,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,26126,2016,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,27262,2017,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,26758,2018,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,24968,2019,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Bird Rocks,26234,2020,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Anticosti Island,167,1969,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Anticosti Island,135,1972,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Anticosti Island,155,1984,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Anticosti Island,146,1985,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Anticosti Island,208,1994,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Anticosti Island,203,1999,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Anticosti Island,221,2004,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Anticosti Island,200,2009,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Anticosti Island,204,2013,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Anticosti Island,165,2014,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Anticosti Island,96,2019,Quebec,,,,,,,,,,,,,,,,,,,,,,,
Cape St. Mary's,5260,1973,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Cape St. Mary's,5515,1984,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Cape St. Mary's,7179,1994,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Cape St. Mary's,12156,1999,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Cape St. Mary's,12432,2004,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Cape St. Mary's,14789,2009,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Cape St. Mary's,15656,2010,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Cape St. Mary's,14696,2011,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Cape St. Mary's,12970,2012,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Cape St. Mary's,13515,2013,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Cape St. Mary's,14598,2018,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Baccalieu Island,673,1973,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Baccalieu Island,677,1984,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Baccalieu Island,1041,1994,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Baccalieu Island,1712,1999,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Baccalieu Island,2050,2004,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Baccalieu Island,2254,2009,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Baccalieu Island,2228,2010,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Baccalieu Island,2157,2011,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Baccalieu Island,2564,2012,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Baccalieu Island,3092,2013,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Baccalieu Island,3241,2014,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Baccalieu Island,3488,2018,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Funk Island,4051,1973,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Funk Island,6075,1984,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Funk Island,7123,1994,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Funk Island,9837,1999,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Funk Island,10047,2004,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Funk Island,9987,2009,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Funk Island,9664,2010,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Funk Island,9043,2011,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Funk Island,9203,2012,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Funk Island,10156,2013,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Funk Island,10198,2014,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
Funk Island,10964,2018,Newfoundland,,,,,,,,,,,,,,,,,,,,,,,
